ReviewId,mentions
3668,mustard
3682,chicken
3694,coffee
3700,salt
3713,basil
3713,walnuts
3718,ginger
3727,nutmeg
3727,cloves
3728,kahlua
3732,zucchini
3738,vanilla
3740,potato
3743,mustard
3749,zucchini
3768,mustard
3790,water
3801,garlic
3813,corn
3813,rice
3828,shortening
3828,butter
3838,chicken
3839,salsa
3844,bacon
3853,parsley
3858,corn
3858,peas
3879,raisins
3879,currants
3881,lemon
3881,orange
3881,cinnamon
3886,hamburger
3886,sausage
3887,carrots
3887,rice
3887,chicken
3892,squash
3904,salmon
3907,wine
3911,ginger
3916,garlic
3916,rice
3916,chicken
3917,mushrooms
3917,carrots
3917,cheese
3917,spinach
3931,potatoes
3936,chocolate
3943,potato
3944,cheese
3947,cinnamon
3956,pepper
3956,cheese
3956,fat
3958,chicken
3974,garlic
3974,ginger
3974,water
3976,chocolate
3984,protein
3985,beer
3987,potatoes
3988,zucchini
3993,salsa
3995,apple
4006,banana
4006,oats
4006,flour
4017,rice
4017,turkey
4017,sausage
4017,beef
4024,pork
4024,beef
4024,chicken
4025,beef
4028,curry
4028,butter
4031,coconut
4040,corn
4043,garlic
4054,rice
4054,pork
4061,honey
4061,onions
4070,bananas
4070,carrots
4070,pumpkin
4070,zucchini
4071,chicken
4095,shallots
4095,squash
4095,couscous
4095,chicken
4099,shrimp
4108,salt
4108,ham
4108,cabbage
4108,herbs
4108,pepper
4110,chocolate
4129,broccoli
4129,linguine
4132,potatoes
4142,chickpeas
4160,sugar
4160,nutmeg
4160,apple
4169,chicken
4181,lemon
4181,tomatoes
4181,water
4192,feta
4192,broccoli
4192,rice
4192,chicken
4199,cashews
4200,pork
4229,beef
4229,pepper
4265,parsley
4272,pepper
4279,salsa
4286,ham
4286,potatoes
4288,dates
4291,paprika
4291,cheese
4291,potatoes
4300,fat
4302,chicken
4306,flour
4306,cinnamon
4308,coffee
4315,milk
4328,parsley
4328,potatoes
4330,pepper
4333,chicken
4343,pears
4343,apple
4354,corn
4362,orange
4362,apricots
4362,pork
4362,water
4363,chicken
4371,chocolate
4372,rotel
4372,broth
4372,flour
4372,chicken
4376,oranges
4376,rice
4393,lime
4394,carrots
4394,ginger
4422,apple
4422,arrowroot
4426,salt
4426,onion
4426,rice
4426,salsa
4431,cheese
4433,artichokes
4433,wine
4434,pasta
4440,beef
4442,banana
4446,bisquick
4449,okra
4449,wine
4449,chicken
4450,butter
4472,pepper
4474,cilantro
4474,tomatoes
4474,pepper
4476,rice
4484,ham
4484,cheese
4493,beef
4521,potato
4521,bacon
4533,potato
4533,ham
4536,pasta
4537,horseradish
4539,broccoli
4542,chicken
4545,salsa
4548,feta
4548,cheese
4559,chicken
4578,pumpkin
4584,pasta
4590,banana
4590,walnuts
4591,salt
4591,cheese
4591,rotel
4591,flour
4591,pepper
4591,milk
4591,tomatoes
4604,pork
4604,applesauce
4606,mushrooms
4606,onions
4606,salsa
4612,scallions
4613,chicken
4617,ginger
4618,water
4622,cheese
4623,milk
4633,onions
4633,shallots
4634,basil
4634,ham
4634,pasta
4634,chicken
4640,sugar
4646,pork
4647,milk
4647,cheese
4649,milk
4649,calories
4649,tortillas
4665,butter
4666,cheese
4666,chicken
4672,saffron
4672,rice
4672,pasta
4672,turmeric
4672,chicken
4673,cheese
4673,ham
4673,turkey
4673,potatoes
4690,raspberries
4690,strawberries
4691,hamburger
4691,potatoes
4704,tuna
4719,peas
4724,beef
4726,tomatoes
4727,pumpkin
4728,cinnamon
4732,chicken
4748,salt
4748,bacon
4750,onion
4750,bacon
4753,lettuce
4764,apple
4764,cinnamon
4764,vanilla
4768,rice
4775,avocado
4780,mustard
4791,artichokes
4794,rum
4796,cheese
4796,bacon
4797,lemon
4797,rice
4806,honey
4806,pepper
4810,chicken
4818,zucchini
4841,mushroom
4843,corn
4843,avocado
4844,chicken
4849,milk
4863,cheese
4867,chicken
4876,fiber
4876,pasta
4878,sugar
4878,egg
4885,cheese
4888,squash
4899,rice
4908,calories
4911,cheese
4911,chocolate
4921,salsa
4927,chicken
4927,butter
4929,spaghetti
4942,chocolate
4956,feta
4971,apple
4971,butter
4972,tomatoes
4982,cucumbers
4987,butter
4996,leek
4996,potato
4997,lemon
5002,mushroom
5002,potatoes
5007,cinnamon
5011,cranberries
5011,craisins
5012,paprika
5012,cheese
5012,pasta
5012,mustard
5015,cabbage
5015,beef
5020,brandy
5023,carrots
5023,apples
5023,walnuts
5025,banana
5025,bananas
5028,salt
5028,cheese
5028,potatoes
5028,potato
5028,onions
5033,salt
5034,yogurt
5036,rice
5036,pepper
5039,orange
5041,sugar
5043,potato
5047,greens
5054,cheese
5058,chicken
5063,butter
5063,rice
5063,chicken
5081,vinegar
5081,onion
5081,rice
5081,cucumber
5085,honey
5085,wine
5086,cheese
5090,mushrooms
5090,eggplant
5090,tomatoes
5096,apples
5096,potato
5097,cheese
5101,carrots
5109,lemon
5109,carrots
5109,honey
5109,mustard
5112,garlic
5112,wine
5122,nutmeg
5127,rum
5171,cranberries
5173,rotel
5173,garlic
5173,tomatoes
5180,garlic
5180,mayonnaise
5183,onions
5187,garlic
5187,onion
5190,potatoes
5195,hamburger
5199,milk
5199,lemon
5199,buttermilk
5206,pasta
5207,cucumbers
5207,onion
5208,brandy
5210,chicken
5212,pumpkin
5218,salsa
5228,vanilla
5228,eggs
5231,potatoes
5231,pork
5233,corn
5233,pasta
5233,tomatoes
5239,beef
5243,chocolate
5247,chicken
5249,corn
5255,cabbage
5255,tomatoes
5268,potatoes
5284,chicken
5290,salsa
5294,water
5294,cornstarch
5294,chicken
5305,beef
5332,mushrooms
5332,shrimp
5332,wine
5347,pasta
5347,ketchup
5352,protein
5352,pasta
5353,potatoes
5359,eggs
5368,garlic
5368,rice
5376,squash
5380,pecans
5384,rice
5401,mint
5401,chocolate
5403,rice
5406,yogurt
5419,chicken
